kanji	katakana	meaning	
調停	ちょうてい	arbitration, conciliation, mediation	 MediaMissing 
重複	ちょうふく	duplication, repetition, overlapping, redundancy, restoration	 MediaMissing 
長編	ちょうへん	long (e.g., novel, film)	 MediaMissing 
重宝	ちょうほう	convenient, useful	 MediaMissing 
調理	ちょうり	cooking	 MediaMissing 
調和	ちょうわ	harmony	 MediaMissing 
ちょくちょく	ちょくちょく	often, frequently, now and then, occasionally	 MediaMissing 
直面	ちょくめん	confrontation	 MediaMissing 
著書	ちょしょ	literary work, book	 MediaMissing 
貯蓄	ちょちく	savings	 MediaMissing 
直感	ちょっかん	intuition, instinct	 MediaMissing 
著名	ちょめい	well-known, noted, celebrated	 MediaMissing 
ちらっと	ちらっと	at a glance, by accident	 MediaMissing 
塵	ちり	dust, dirt	 MediaMissing 
塵取り	ちりとり	dustpan	 MediaMissing 
賃金	ちんぎん	wages	 MediaMissing 
沈殿	ちんでん	precipitation, deposition, settlement	 MediaMissing 
沈没	ちんぼつ	sinking, foundering	 MediaMissing 
沈黙	ちんもく	silence, reticence	 MediaMissing 
陳列	ちんれつ	exhibition, display, show	 MediaMissing 
追及	ついきゅう	investigation, inquiry	 MediaMissing 
追跡	ついせき	pursuit	 MediaMissing 
追放	ついほう	exile, banishment	 MediaMissing 
費やす	ついやす	to spend, to devote, to waste	 MediaMissing 
墜落	ついらく	falling, crashing	 MediaMissing 
痛感	つうかん	feeling keenly, fully realizing	 MediaMissing 
通常	つうじょう	common, normal, usual	 MediaMissing 
痛切	つうせつ	keen, deep	 MediaMissing 
杖	つえ	cane	 MediaMissing 
使い道	つかいみち	use	 MediaMissing 
仕える	つかえる	to serve, to work for	 MediaMissing 
司る	つかさどる	to rule, to govern, to administer	 MediaMissing 
つかの間	つかのま	moment, brief time,	 MediaMissing 
月並	つきなみ	conventional, trite, common	 MediaMissing 
継目	つぎめ	joint, seam	 MediaMissing 
尽きる	つきる	to be used up, to be run out	 MediaMissing 
尽くす	つくす	to exhaust, to run out; to devote, to serve	 MediaMissing 
つくづく	つくづく	completely, really	 MediaMissing 
作り	つくり	make up, structure, physique	 MediaMissing 
造り	つくり	make up, structure, physique	 MediaMissing 
繕う	つくろう	to mend, to repair	 MediaMissing 
付け加える	つけくわえる	to add one thing to another	 MediaMissing 
告げる	つげる	to inform	 MediaMissing 
つじつま (はなしの～)	つじつま (はなしの～)	coherence, consistency	 MediaMissing 
筒	つつ	pipe, tube	 MediaMissing 
突く	つつく	to thrust, to strike, to attack; to poke, to nudge, to pick at	 MediaMissing 
突っ突く	つっつく	to prompt someone	 MediaMissing 
謹む	つつしむ	to be careful, to be chaste or discreet	 MediaMissing 
突っ張る	つっぱる	to support, to become stiff; to thrust (ones opponent), to stick to (ones opinion), to insist on	 MediaMissing 
務まる	つとまる	be equal, be fit	 MediaMissing 
勤め先	つとめさき	place of work	 MediaMissing 
努めて	つとめて	make an effort!, work hard!	 MediaMissing 
津波	つなみ	tsunami, tidal wave	 MediaMissing 
つねる	つねる	to pinch	 MediaMissing 
角	つの	horn	 MediaMissing 
募る	つのる	to invite, to solicit help, participation, etc	 MediaMissing 
唾	つば	saliva, spit, sputum	 MediaMissing 
呟く	つぶやく	to mutter, to murmur	 MediaMissing 
つぶら	つぶら	round, rotund	 MediaMissing 
つぶる (めを～)	つぶる (めを～)	to close the eyes	 MediaMissing 
壷	つぼ	jar, pot, vase	 MediaMissing 
蕾	つぼみ	bud, flower bud	 MediaMissing 
連なる	つらなる	to extend, to stretch out, to stand in a row	 MediaMissing 
貫く	つらぬく	to go through	 MediaMissing 
連ねる	つらねる	to link, to join, to put together	 MediaMissing 
釣り鐘	つりがね	temple bell (for striking)	 MediaMissing 
吊り革	つりかわ	strap	 MediaMissing 
手当	てあて	allowance, compensation; treatment	 MediaMissing 
定義	ていぎ	definition	 MediaMissing 
提供	ていきょう	offer, program sponsoring	 MediaMissing 
提携	ていけい	cooperation, tie-up, joint business	 MediaMissing 
体裁	ていさい	decency, style, form, appearance	 MediaMissing 
提示	ていじ	presentation, exhibit, suggest, citation	 MediaMissing 
ティシュペーパー	ティシュペーパー	tissue	 MediaMissing 
定食	ていしょく	fixed-price lunch, set meal, dinner	 MediaMissing  Intermediate_Japanese_Ln.13 Intermediate_Japanese
訂正	ていせい	correction, revision	 MediaMissing 
停滞	ていたい	stagnation, tie-up, congestion, retention	 MediaMissing 
邸宅	ていたく	mansion, residence	 MediaMissing 
定年	ていねん	retirement age	 MediaMissing 
堤防	ていぼう	bank, weir	 MediaMissing 
手遅れ	ておくれ	being (too); belated treatment	 MediaMissing 
でかい	でかい	huge	 MediaMissing 
手掛かり	てがかり	hint, clue, key	 MediaMissing 
手掛ける	てがける	to handle, to manage, to work with	 MediaMissing 
手数	てかず	trouble, labor, handling	 MediaMissing 
手軽	てがる	easy, simple, cheap	 MediaMissing 
適応	てきおう	adaptation, accommodation, conformity	 MediaMissing 
適宜	てきぎ	suitability	 MediaMissing 
適性	てきせい	aptitude	 MediaMissing 
できもの	できもの	boil, rash	 MediaMissing 
手際	てぎわ	performance, skill, tact	 MediaMissing 
出くわす	でくわす	to happen to meet, to come across	 MediaMissing 
手順	てじゅん	process, procedure, protocol	 MediaMissing  Intermediate_Japanese_Ln.12 Intermediate_Japanese
手錠	てじょう	handcuffs, manacles	 MediaMissing 
手数	てすう	trouble, labor, handling	 MediaMissing 
デコレーション	デコレーション	decoration	 MediaMissing 
手近	てぢか	near, handy, familiar	 MediaMissing 
てっきり	てっきり	surely, certainly, beyond doubt	 MediaMissing 
鉄鋼	てっこう	iron and steel	 MediaMissing 
デッサン	デッサン	rough sketch (FRE: dessin)	 MediaMissing 
徹する	てっする	to devote oneself, to believe in	 MediaMissing 
てっぺん	てっぺん	top, summit, apex	 MediaMissing 
鉄棒	てつぼう	iron rod, crowbar, horizontal bar (gymnastics)	 MediaMissing 
出直し	でなおし	adjustment, touch up	 MediaMissing 
掌	てのひら	the palm	 MediaMissing 
手配	てはい	arrangement, search (by police)	 MediaMissing 
手筈	てはず	arrangement, plan, program	 MediaMissing 
手引	てびき	guidance, guide, introduction	 MediaMissing 
手本	てほん	model, pattern	 MediaMissing 
手回し	てまわし	preparations, arrangements	 MediaMissing 
手元	てもと	(money) on hand or at home, one's purse; usual skill	 MediaMissing 
デモンストレーション	デモンストレーション	demonstration	 MediaMissing 
照り返す	てりかえす	to reflect, to throw back light	 MediaMissing 
テレックス	テレックス	telex, teletypewriter exchange	 MediaMissing 
手分け	てわけ	division of labor	 MediaMissing 
天	てん	heaven, sky	 MediaMissing 
田園	でんえん	country, rural districts	 MediaMissing 
天下	てんか	the world, whole country	 MediaMissing 
転回	てんかい	revolution, rotation	 MediaMissing 
転換	てんかん	convert, divert	 MediaMissing 
転居	てんきょ	moving, changing residence	 MediaMissing 
転勤	てんきん	transfer (to another office of a company)	 MediaMissing Intermediate_Japanese_Ln.14  Intermediate_Japanese
点検	てんけん	inspection, examination, checking	 MediaMissing 
電源	でんげん	source of electricity, power (e.g., button on TV)	 MediaMissing 
天国	てんごく	paradise, heaven, Kingdom of Heaven	 MediaMissing 
天才	てんさい	a genius	 MediaMissing  Intermediate_Japanese_Ln.8 Intermediate_Japanese
天災	てんさい	natural calamity, disaster	 MediaMissing 
展示	てんじ	exhibition, display	 MediaMissing 
伝説	でんせつ	tradition, legend, folklore	 MediaMissing  Intermediate_Japanese_Ln.8 Intermediate_Japanese
点線	てんせん	dotted line	 MediaMissing 
転じる	てんじる	to turn, to shift	 MediaMissing 
転ずる	てんずる	to turn, to shift	 MediaMissing 
天体	てんたい	heavenly body	 MediaMissing 
伝達	でんたつ	transmission (e.g., news, communication, delivery)	 MediaMissing 
天地	てんち	heaven and earth, the universe	 MediaMissing 
てんで	てんで	(not) at all, altogether, entirely	 MediaMissing 
転任	てんにん	change of post	 MediaMissing 
展望	てんぼう	view, outlook, prospect	 MediaMissing 
伝来	でんらい	ancestral, hereditary, imported	 MediaMissing 
転落	てんらく	fall, degradation	 MediaMissing 
問い合わせる	といあわせる	to inquire, to seek information	 MediaMissing 
当～	とう～	Our ~ (e.g., Hotel, plane, etc.)	 MediaMissing 
胴	どう	trunk, body, frame	 MediaMissing 
同意	どうい	agreement, consent; same meaning	 MediaMissing 
動員	どういん	mobilization	 MediaMissing 
同感	どうかん	agreement, same opinion, same feeling	 MediaMissing 
陶器	とうき	pottery, ceramics	 MediaMissing 
討議	とうぎ	debate, discussion	 MediaMissing 
動機	どうき	motive, incentive	 MediaMissing 
等級	とうきゅう	grade, class	 MediaMissing 
同級	どうきゅう	the same grade, same class	 MediaMissing 
同居	どうきょ	living together	 MediaMissing 
登校	とうこう	attendance (at school)	 MediaMissing 
統合	とうごう	integration, unification, synthesis	 MediaMissing 
動向	どうこう	trend, tendency, movement, attitude	 MediaMissing 
投資	とうし	investment	 MediaMissing 
同情	どうじょう	sympathy, compassion, sympathize	 MediaMissing 
道場	どうじょう	(arch) dojo, hall used for martial arts training, mandala	 MediaMissing 
統制	とうせい	regulation, control	 MediaMissing 
当選	とうせん	being elected, winning the prize	 MediaMissing 
逃走	とうそう	flight, desertion, escape	 MediaMissing 
統率	とうそつ	command, generalship, leadership	 MediaMissing 
到達	とうたつ	reaching, attaining, arrival	 MediaMissing 
統治	とうち	rule, reign, governing	 MediaMissing 
同調	どうちょう	sympathy, agree with, alignment	 MediaMissing 
到底	とうてい	(cannot) possibly	 MediaMissing 
動的	どうてき	dynamic, kinetic	 MediaMissing 
尊い	とうとい	precious, valuable, noble	 MediaMissing 
貴い	とうとい	precious, valuable, noble	 MediaMissing 
同等	どうとう	equality, equal, same rank	 MediaMissing 
堂々	どうどう	magnificent, grand, impressive	 MediaMissing 
尊ぶ	とうとぶ	to value, to prize, to esteem	 MediaMissing 
どうにか	どうにか	in some way or other, one way or another	 MediaMissing 
投入	とうにゅう	throw, investment, making (an electrical circuit)	 MediaMissing 
導入	どうにゅう	introduction, bringing in, leading in	 MediaMissing  Intermediate_Japanese_Ln.12 Intermediate_Japanese
当人	とうにん	the one concerned, the said person	 MediaMissing 
同封	どうふう	enclosure (e.g., in a letter)	 MediaMissing 
逃亡	とうぼう	escape	 MediaMissing 
冬眠	とうみん	hibernation, winter sleep	 MediaMissing 
同盟	どうめい	alliance, union, league	 MediaMissing 
どうやら	どうやら	it seems like, somehow or other	 MediaMissing 
動力	どうりょく	power, motive power, dynamic force	 MediaMissing 
登録	とうろく	registration, register, record	 MediaMissing 
討論	とうろん	discussion; debate	 MediaMissing  Intermediate_Japanese_Ln.15 Intermediate_Japanese
遠ざかる	とおざかる	to go far off	 MediaMissing 
遠回り	とおまわり	detour, roundabout way	 MediaMissing 
トーン	トーン	tone	 MediaMissing 
とかく	とかく	anyhow, anyway, in any case	 MediaMissing 
とがめる	とがめる	to blame, to rebuke	 MediaMissing 
時折	ときおり	sometimes	 MediaMissing 
とぎれる	とぎれる	to pause, to be interrupted	 MediaMissing 
研ぐ	とぐ	to sharpen, to grind, to polish	 MediaMissing 
特技	とくぎ	special talent; skill	 MediaMissing  Intermediate_Japanese_Ln.8 Intermediate_Japanese
独裁	どくさい	dictatorship, despotism	 MediaMissing 
特産	とくさん	specialty, special product	 MediaMissing 
独自	どくじ	original, peculiar, characteristic	 MediaMissing 
特集	とくしゅう	feature (e.g., newspaper, special edition, report)	 MediaMissing 
独占	どくせん	monopoly	 MediaMissing 
独創	どくそう	originality	 MediaMissing 
得点	とくてん	score, points made	 MediaMissing 
特派	とくは	send specially, special envoy	 MediaMissing 
特有	とくゆう	characteristic (of, peculiar (to))	 MediaMissing 
とげ (をさす)	とげ (をさす)	thorn	 MediaMissing 
遂げる	とげる	to accomplish, to achieve, to carry out	 MediaMissing 
～どころか	～どころか	rather, far from	 MediaMissing 
年頃	としごろ	age, marriageable age, adolescence	 MediaMissing 
戸締り	とじまり	closing up, locking the doors	 MediaMissing 
途上	とじょう	en/in route, half way	 MediaMissing 
土台	どだい	foundation, base, basis	 MediaMissing 
途絶える	とだえる	to stop, to cease, to come to an end	 MediaMissing 
特許	とっきょ	special permission, patent	 MediaMissing 
特権	とっけん	privilege, special right	 MediaMissing 
とっさに	とっさに	at once	 MediaMissing 
突如	とつじょ	suddenly, all of a sudden	 MediaMissing 
とって	とって	handle, grip, knob	 MediaMissing 
突破	とっぱ	breaking through, breakthrough, penetration	 MediaMissing 
土手	どて	embankment, bank	 MediaMissing 
届	とどけ	report, notification, registration	 MediaMissing 
滞る	とどこおる	to stagnate, to be delayed	 MediaMissing 
整える	ととのえる	to put in order, to arrange, to adjust; to get ready, to prepare; to raise money	 MediaMissing 
止める	とどめる	to end, to stop, to cease, to resign	 MediaMissing 
唱える	となえる	to recite, to chant, to call upon	 MediaMissing 
殿様	とのさま	feudal lord	 MediaMissing 
土俵	どひょう	arena	 MediaMissing 
扉	とびら	door, opening	 MediaMissing 
溝	どぶ	ditch, drain, gap	 MediaMissing 
徒歩	とほ	walking, going on foot	 MediaMissing 
土木	どぼく	public works	 MediaMissing 
とぼける	とぼける	to play dumb, to feign ignorance, to play innocent, to have a blank facial expression; to play the fool; to be in one's dotage	 MediaMissing 
乏しい	とぼしい	meager, scarce, hard up, poor	 MediaMissing 
富	とみ	wealth, fortune	 MediaMissing 
富む	とむ	to be rich, to become rich	 MediaMissing 
共稼ぎ	ともかせぎ	working together, (husband and wife) earning a living together	 MediaMissing 
伴う	ともなう	to accompany, to bring with	 MediaMissing 
共働き	ともばたらき	dual income (husband and wife both working)	 MediaMissing Intermediate_Japanese_Ln.14  Intermediate_Japanese
ドライ	ドライ	dry	 MediaMissing 
ドライクリーニング	ドライクリーニング	dry cleaning	 MediaMissing 
ドライバー	ドライバー	driver, screwdriver	 MediaMissing 
ドライブイン	ドライブイン	drive in	 MediaMissing 
トラブル	トラブル	trouble (sometimes used as a verb)	 MediaMissing 
トランジスター	トランジスター	transistor	 MediaMissing 
とりあえず	とりあえず	at once, first of all, for the time being	 MediaMissing 
取扱	とりあつかい	treatment, handling, management	 MediaMissing 
取り扱う	とりあつかう	to treat, to handle, to deal in	 MediaMissing 
鳥居	とりい	Shinto shrine archway	 MediaMissing 
取り替え	とりかえ	swap, exchange	 MediaMissing 
取り組む	とりくむ	to tackle, to engage in a bout, to come to grips with	 MediaMissing 
取締り	とりしまり	control, crackdown, supervision	 MediaMissing 
取り締まる	とりしまる	to crack down, to control, to supervise	 MediaMissing 
取り調べる	とりしらべる	to investigate, to examine	 MediaMissing 
取り立てる	とりたてる	to collect, to extort	 MediaMissing 
取り次ぐ	とりつぐ	to act as an agent for, to announce (someone), to convey (a message)	 MediaMissing 
取り付ける	とりつける	to furnish, to install; to get someone's agreement	 MediaMissing 
取り除く	とりのぞく	to remove, to take away, to set apart	 MediaMissing 
取引	とりひき	transactions, dealings, business	 MediaMissing 
取り巻く	とりまく	to surround, to circle, to enclose	 MediaMissing 
取り混ぜる	とりまぜる	to mix, to put together	 MediaMissing 
取り戻す	とりもどす	to take back, to regain	 MediaMissing 
取り寄せる	とりよせる	to order, to send away for	 MediaMissing 
ドリル	ドリル	drill	 MediaMissing 
副	とりわけ	especially, above all	 MediaMissing 
とろける	とろける	melt; to be enchanted with	 MediaMissing 
鈍感	どんかん	thickheadedness, stolidity	 MediaMissing 
とんだ	とんだ	terrible, awful, serious, absolutely not	 MediaMissing 
度忘れ	どわすれ	lapse of memory, forget for a moment	 MediaMissing 
問屋	とんや	wholesale store	 MediaMissing 
内閣	ないかく	cabinet, (government)	 MediaMissing 
乃至	ないし	from...to, between...and, or	 MediaMissing 
内緒	ないしょ	secrecy, privacy, secret	 MediaMissing 
内心	ないしん	innermost thoughts, real intention, inmost heart	 MediaMissing 
内蔵	ないぞう	internal organ; built-in	 MediaMissing 
ナイター	ナイター	game under lights (e.g., baseball), night game	 MediaMissing 
内部	ないぶ	interior, inside, internal	 MediaMissing 
内乱	ないらん	civil war, domestic conflict	 MediaMissing 
内陸	ないりく	inland	 MediaMissing 
苗	なえ	rice seedling	 MediaMissing 
なおさら	なおさら	all the more, still less	 MediaMissing 
流し	ながし	sink	 MediaMissing 
長々	ながなが	long, drawn-out, very long	 MediaMissing 
中程	なかほど	middle, midway	 MediaMissing 
渚	なぎさ	water's edge, beach, shore	 MediaMissing 
嘆く	なげく	to sigh, to lament, to grieve	 MediaMissing 
投げ出す	なげだす	to abandon, to throw out	 MediaMissing 
仲人	なこうど	go-between, matchmaker	 MediaMissing 
和やか	なごやか	mild, calm, harmonious	 MediaMissing 
名残	なごり	remains, traces, memory	 MediaMissing 
情け	なさけ	sympathy, compassion	 MediaMissing 
情無い	なさけない	miserable, pitiable, shameful	 MediaMissing 
情深い	なさけぶかい	tender-hearted, compassionate	 MediaMissing 
詰る	なじる	to rebuke, to scold, to tell off	 MediaMissing 
名高い	なだかい	famous, celebrated, well-known	 MediaMissing 
雪崩	なだれ	avalanche	 MediaMissing 
懐く	なつく	to become emotionally attached	 MediaMissing 
名付ける	なづける	to name	 MediaMissing 
何気ない	なにげない	casual, unconcerned	 MediaMissing 
なにとぞ	なにとぞ	please, kindly, by all means	 MediaMissing 
なにより	なにより	most, best	 MediaMissing 
ナプキン	ナプキン	napkin	 MediaMissing 
名札	なふだ	name plate, name tag	 MediaMissing 
生臭い	なまぐさい	smelling of fish or blood, fish or meat	 MediaMissing 
生温い	なまぬるい	lukewarm, halfhearted	 MediaMissing 
生身	なまみ	living flesh, flesh and blood, the quick	 MediaMissing 
鉛	なまり	lead (the metal)	 MediaMissing 
滑らか	なめらか	smoothness, glassiness	 MediaMissing 
嘗める	なめる	to lick; to experience; to make fun of	 MediaMissing 
悩ましい	なやましい	seductive, melancholy, languid	 MediaMissing 
悩ます	なやます	to bother, to harass, to molest	 MediaMissing 
悩み	なやみ	trouble(s), worry, distress	 MediaMissing  Genki_Ln.19 Genki
並びに	ならびに	and	 MediaMissing 
成り立つ	なりたつ	to consist of; to be practical (logical, feasible, viable), to be concluded, to hold true	 MediaMissing 
なるたけ	なるたけ	as much as possible, if possible	 MediaMissing 
慣れ	なれ	practice, experience	 MediaMissing 
馴々しい	なれなれしい	familiar, make free with	 MediaMissing 
～なんか	～なんか	in the least ~	 MediaMissing 
ナンセンス	ナンセンス	nonsense	 MediaMissing 
何だか	なんだか	a little, somewhat, somehow	 MediaMissing  Intermediate_Japanese Intermediate_Japanese_Ln.11
なんだかんだ	なんだかんだ	something or other	 MediaMissing 
なんなり	なんなり	anything, whatever	 MediaMissing 
荷	に	load, baggage, cargo	 MediaMissing 
似通う	にかよう	to resemble closely	 MediaMissing 
にきび	にきび	pimple, acne	 MediaMissing 
賑わう	にぎわう	to prosper, to flourish, to be crowded with people	 MediaMissing 
憎しみ	にくしみ	hatred	 MediaMissing 
肉親	にくしん	blood relationship, blood relative	 MediaMissing 
肉体	にくたい	the body, the flesh	 MediaMissing 
逃げ出す	にげだす	to run away, to escape from	 MediaMissing 
西日	にしび	westering sun	 MediaMissing 
滲む	にじむ	to run, to blur, to spread	 MediaMissing 
にせ物	にせもの	imitation, counterfeit	 MediaMissing 
日夜	にちや	day and night, always	 MediaMissing 
荷造り	にづくり	packing, baling, crating	 MediaMissing 
担う	になう	to carry on shoulder, to bear (burden), to shoulder (gun)	 MediaMissing 
鈍る	にぶる	to become less capable, to grow dull, to become blunt, to weaken	 MediaMissing 
にも関わらず	にもかかわらず	in spite of, nevertheless	 MediaMissing 
ニュアンス	ニュアンス	nuance	 MediaMissing 
ニュー	ニュー	new	 MediaMissing 
入手	にゅうしゅ	obtaining, coming to hand	 MediaMissing 
入賞	にゅうしょう	winning a prize or place (in a contest	 MediaMissing 
入浴	にゅうよく	bathe, bathing	 MediaMissing 
尿	にょう	urine	 MediaMissing 
認識	にんしき	recognition, cognizance	 MediaMissing 
妊娠	にんしん	conception, pregnancy	 MediaMissing 
任務	にんむ	duty, mission, task	 MediaMissing 
任命	にんめい	appointment, nomination, ordination	 MediaMissing 
抜かす	ぬかす	to omit, to leave out	 MediaMissing 
抜け出す	ぬけだす	to slip out, to sneak away, to excel	 MediaMissing 
主	ぬし	owner, master, god	 MediaMissing  Intermediate_Japanese_Ln.13 Intermediate_Japanese
沼	ぬま	swamp, bog, pond	 MediaMissing 
音色	ねいろ	tone color, timbre	 MediaMissing 
値打ち	ねうち	value, worth, price	 MediaMissing 
ネガ	ネガ	(photographic) negative	 MediaMissing 
寝かせる	ねかせる	to put to bed, to lay down, to ferment	 MediaMissing 
ねじまわし	ねじまわし	screwdriver	 MediaMissing 
捩れる	ねじれる	twist, strain	 MediaMissing 
妬む	ねたむ	to be jealous, to be envious	 MediaMissing 
ねだる	ねだる	to nag, to demand	 MediaMissing 
熱意	ねつい	zeal, enthusiasm	 MediaMissing 
熱湯	ねっとう	boiling water	 MediaMissing 
熱量	ねつりょう	calorific value	 MediaMissing 
粘り	ねばり	stickiness, viscosity	 MediaMissing 
粘る	ねばる	to be sticky, to be adhesive, to persist, to stick to	 MediaMissing 
値引き	ねびき	price reduction, discount	 MediaMissing 
根回し	ねまわし	making necessary arrangements	 MediaMissing 
眠たい	ねむたい	sleepy	 MediaMissing 
練る	ねる	to knead, to work over, to polish up	 MediaMissing 
念	ねん	sense, feeling, desire	 MediaMissing 
年賀	ねんが	New Year's greetings, New Year's card	 MediaMissing 
念願	ねんがん	one's heart's desire, earnest petition	 MediaMissing 
年号	ねんごう	name of an era, year number	 MediaMissing 
燃焼	ねんしょう	burning, combustion	 MediaMissing 
年長	ねんちょう	seniority	 MediaMissing 
燃料	ねんりょう	fuel	 MediaMissing 
年輪	ねんりん	annual tree ring	 MediaMissing 
ノイローゼ	ノイローゼ	neurosis (GER: Neurose)	 MediaMissing 
農耕	のうこう	farming, agriculture	 MediaMissing 
農場	のうじょう	farm	 MediaMissing 
農地	のうち	agricultural land	 MediaMissing 
納入	のうにゅう	payment, supply	 MediaMissing 
逃す	のがす	to let loose, to set free, to let escape	 MediaMissing 
逃れる	のがれる	to escape	 MediaMissing 
軒並	のきなみ	row of houses; uniformly	 MediaMissing 
望ましい	のぞましい	desirable, hoped for	 MediaMissing 
乗っ取る	のっとる	to capture, to occupy, to take over	 MediaMissing 
のどか	のどか	tranquil, calm, quiet	 MediaMissing 
罵る	ののしる	to speak ill of, to abuse	 MediaMissing 
延べ	のべ	futures, credit (buying), stretching, total	 MediaMissing 
飲み込む	のみこむ	to gulp down, to swallow deeply, to understand	 MediaMissing  Intermediate_Japanese_Ln.12 Intermediate_Japanese
乗り込む	のりこむ	to board, to get into (a car); to march into, to enter	 MediaMissing 
刃	は	blade, sword	 MediaMissing 
～派	～は	group, party, section (mil)	 MediaMissing 
バー	バー	bar	 MediaMissing 
把握	はあく	grasp, catch, understanding	 MediaMissing 
パート	パート	part-time job	 MediaMissing  Intermediate_Japanese_Ln.8 Intermediate_Japanese
廃棄	はいき	disposal, abandon, discarding	 MediaMissing 
配給	はいきゅう	distribution (e.g., films, rice	 MediaMissing 
ばい菌	ばいきん	bacteria, germ(s)	 MediaMissing 
配偶者	はいぐうしゃ	spouse	 MediaMissing 
拝啓	はいけい	-- a formal greeting used at the beginning of a letter --	Intermediate_Japanese_Ln.4   MediaMissing Intermediate_Japanese
背景	はいけい	background, scenery, setting	 MediaMissing 
背後	はいご	back, rear	 MediaMissing 
廃止	はいし	abolition, repeal	 MediaMissing 
拝借	はいしゃく	(humble) (polite) borrowing	 MediaMissing 
排除	はいじょ	exclusion, removal, rejection	 MediaMissing 
賠償	ばいしょう	reparations, indemnity, compensation	 MediaMissing 
排水	はいすい	drainage	 MediaMissing 
敗戦	はいせん	defeat, losing a war	 MediaMissing 
配置	はいち	arrangement (of resources), disposition	 MediaMissing 
配布	はいふ	distribution	 MediaMissing 
配分	はいぶん	distribution, allotment	 MediaMissing 
敗北	はいぼく	defeat (as a verb it means 'to be defeated')	 MediaMissing 
倍率	ばいりつ	diameter, magnification	 MediaMissing 
配慮	はいりょ	consideration, concern, forethought	 MediaMissing 
配列	はいれつ	arrangement, array (programming)	 MediaMissing 
破壊	はかい	destruction	 MediaMissing 
捗る	はかどる	to make progress, to move right ahead (with the work), to advance	 MediaMissing 
はかない	はかない	short-lived, momentary, ephemeral	 MediaMissing 
ばかばかしい	ばかばかしい	stupid	 MediaMissing 
破棄	はき	revocation, annulment, breaking (e.g., treaty)	 MediaMissing 
剥ぐ	はぐ	to tear off, to peel off, to rip off	 MediaMissing 
迫害	はくがい	persecution	 MediaMissing 
薄弱	はくじゃく	feebleness, weakness, weak	 MediaMissing 
白状	はくじょう	confession	 MediaMissing 
漠然	ばくぜん	obscure, vague, equivocal	 MediaMissing 
爆弾	ばくだん	bomb	 MediaMissing 
爆破	ばくは	blast, explosion, blow up	 MediaMissing 
暴露	ばくろ	disclosure, exposure, revelation	 MediaMissing 
励ます	はげます	to encourage, to cheer, to raise (the voice)	 MediaMissing  Intermediate_Japanese_Ln.13 Intermediate_Japanese
励む	はげむ	to be zealous, to make an effort	 MediaMissing 
剥げる	はげる	to come off, to be worn off, to fade, to discolor	 MediaMissing 
化ける	ばける	to disguise, to take the form of	 MediaMissing 
派遣	はけん	dispatch, send	 MediaMissing 
恥	はじ	shame, embarrassment	 MediaMissing 
弾く	はじく	to play (piano, guitar)	 MediaMissing 
パジャマ	パジャマ	pajamas	 MediaMissing 
恥じらう	はじらう	to feel shy, to be bashful, to blush	 MediaMissing 
恥じる	はじる	to feel ashamed	 MediaMissing 
橋渡し	はしわたし	bridge building', mediation	 MediaMissing 
弾む	はずむ	to bounce, to be encouraged, to splurge on	 MediaMissing 
破損	はそん	damage	 MediaMissing 
叩く	はたく	to strike, to clap, to dust, to beat	 MediaMissing 
裸足	はだし	barefoot	 MediaMissing 
果たす	はたす	to accomplish, to fulfill, to carry out, to achieve	 MediaMissing 
蜂蜜	はちみつ	honey	 MediaMissing 
パチンコ	パチンコ	pachinko (Japanese pinball)	 MediaMissing 
罰	ばつ	punishment, penalty	 MediaMissing 
発育	はついく	(physical) growth, development	 MediaMissing 
発芽	はつが	germination	 MediaMissing 
発掘	はっくつ	excavation, exhumation; discovery (e.g., new talent)	 MediaMissing 
発言	はつげん	utterance, speech, proposal	 MediaMissing 
バッジ	バッジ	badge	 MediaMissing 
発生	はっせい	outbreak, spring forth, occurrence	 MediaMissing 
バッテリー	バッテリー	battery	 MediaMissing 
バット	バット	bat, vat	 MediaMissing 
発病	はつびょう	attack, to become sick	 MediaMissing 
初耳	はつみみ	something heard for the first time	 MediaMissing 
果て	はて	the end, the extremity, the limit(s)	 MediaMissing 
果てる	はてる	to end, to be finished, to be exhausted	 MediaMissing 
ばてる	ばてる	to be exhausted, to be worn out	 MediaMissing 
パトカー	パトカー	patrol car	 MediaMissing 
甚だ	はなはだ	very, greatly, exceedingly	 MediaMissing 
華々しい	はなばなしい	brilliant, magnificent, spectacular	 MediaMissing 
花びら	はなびら	(flower) petal	 MediaMissing 
華やか	はなやか	brilliant, gorgeous, florid	 MediaMissing 
阻む	はばむ	to keep someone from doing, to stop, to oppose	 MediaMissing 
浜	はま	beach, seashore	 MediaMissing 
浜辺	はまべ	beach, foreshore	 MediaMissing 
はまる	はまる	to get into, to go into, to fit, to be fit for, to suit	 MediaMissing 
早める	はやめる	to hasten, to quicken, to accelerate	 MediaMissing 
腹立ち	はらだち	anger	 MediaMissing 
原っぱ	はらっぱ	open field, empty lot, plain	 MediaMissing 
はらはら	はらはら	feel nervous	 MediaMissing 
ばらまく	ばらまく	to disseminate, to scatter	 MediaMissing 
張り紙	はりがみ	notice, poster	 MediaMissing 
遥か	はるか	far, far-away, distant	 MediaMissing 
破裂	はれつ	explosion, rupture, break off	 MediaMissing 
腫れる	はれる	to swell (from inflammation, to become swollen)	 MediaMissing 
